"ensembl_gene_id","ensembl_gene_id_hg38","gene_name_hg19","gene_name_local","gene_name_hg38","mismatch_hg19","mismatch_ensembl","entrezgene_ids","refseq_status","refseq_hardcoded","ensembl_transcript_hardcoded"
"ENSG00000166349","ENSG00000166349","RAG1","RAG1","RAG1","FALSE","FALSE",5896,,,
"ENSG00000166710","ENSG00000166710","B2M","B2M","B2M","FALSE","FALSE",567,,,
"ENSG00000167207","ENSG00000167207","NOD2","NOD2","NOD2","FALSE","FALSE",64127,,,
"ENSG00000167286","ENSG00000167286","CD3D","CD3D","CD3D","FALSE","FALSE",915,,,
"ENSG00000167323","ENSG00000167323","STIM1","STIM1","STIM1","FALSE","FALSE",6786,,,
"ENSG00000167895","ENSG00000167895","TMC8","TMC8","TMC8","FALSE","FALSE",147138,,,
"ENSG00000168040","ENSG00000168040","FADD","FADD","FADD","FALSE","FALSE",8772,,,
"ENSG00000168264","ENSG00000168264","IRF2BP2","IRF2BP2","IRF2BP2","FALSE","FALSE",359948,,,
"ENSG00000168394","ENSG00000168394","TAP1","TAP1","TAP1","FALSE","FALSE",6890,,,
"ENSG00000168421","ENSG00000168421","RHOH","RHOH","RHOH","FALSE","FALSE",399,,,
"ENSG00000168610","ENSG00000168610","STAT3","STAT3","STAT3","FALSE","FALSE",6774,,,
"ENSG00000168685","ENSG00000168685","IL7R","IL7R","IL7R","FALSE","FALSE",3575,,,
"ENSG00000170381","ENSG00000170381","SEMA3E","SEMA3E","SEMA3E","FALSE","FALSE",9723,,,
"ENSG00000170581","ENSG00000170581","STAT2","STAT2","STAT2","FALSE","FALSE",6773,,,
"ENSG00000171316","ENSG00000171316","CHD7","CHD7","CHD7","FALSE","FALSE",55636,,,
"ENSG00000171608","ENSG00000171608","PIK3CD","PIK3CD","PIK3CD","FALSE","FALSE",5293,,,
"ENSG00000171793","ENSG00000171793","CTPS1","CTPS1","CTPS1","FALSE","FALSE",1503,,,
